timestamp,input_type,command,response,time_taken_s,status
2026-04-19 17:33:27,voice,hello bro,,3.854,success
2026-04-19 21:21:54,voice,open chrome,,11.521,success
2026-04-19 21:22:08,voice,open prime video,,2.198,success
2026-04-19 21:22:25,voice,open obsidian,,7.121,success
2026-04-19 23:53:00,voice,search my name on internet,,4.24,success
2026-04-19 23:53:32,voice,like what groups,,3.662,success
2026-04-19 23:53:59,voice,can you find my instagram,,7.096,success
2026-04-19 23:54:17,voice,find my account on instagram in internet,,5.725,success
2026-04-19 23:54:59,voice,can you tell me my total followers,,4.711,success
2026-04-19 23:55:32,voice,can you tell me how it is your data is,,4.095,success
2026-04-19 23:56:08,voice,the instagram username you are saying and that is mine it's about 5 years old,,4.642,success
2026-04-19 23:56:40,voice,1 n o n l y v a n s h,,3.792,success
2026-04-20 16:41:48,voice,open file sem 1,,3.23,success
2026-04-27 17:41:19,voice,whatsapp is not connected exceeding 90% consider closing some applications,,3.42,success
2026-04-27 17:42:20,voice,hey open notepad,,11.503,success
2026-04-27 17:42:41,voice,can you tell me my ram health,,4.286,success
2026-04-27 17:43:20,voice,set a timer for 1 minute,,4.457,success
2026-04-27 17:43:45,voice,lights on spotify,,7.629,success
2026-04-29 11:58:55,voice,hello niga,,1.727,success
2026-04-29 11:59:13,voice,what time is it,,0.915,success
2026-04-29 11:59:42,voice,who is elon musk,,2.826,success
2026-04-29 12:30:20,voice,hello,,2.269,success
2026-04-29 13:15:19,voice,play tear you apart on spotify,,2.771,success
2026-04-29 13:31:07,voice,play dexter blood theme on spotify,,6.144,success
2026-04-29 13:37:21,voice,hello i am vansh kishore sharma the founder of you,,3.69,success
2026-04-29 13:37:56,voice,open notepad,,2.475,success
2026-04-29 13:39:08,voice,introduce yourself,,3.587,success
2026-04-29 13:39:33,voice,tell me how will you introduce yourself in front of my teacher,,3.72,success
2026-04-29 13:39:57,voice,can you tell my teacher what you can do,,4.15,success
2026-04-29 19:51:01,voice,hello,,1.6,success
2026-04-29 19:52:22,voice,hello,,2.937,success
2026-04-29 19:52:48,voice,open notepad,,2.494,success
2026-04-30 11:09:07,voice,what do you see,,4.77,success
2026-04-30 11:15:03,voice,what am i holding,,3.315,success
2026-04-30 15:01:30,voice,open chrome,,2.482,success
2026-05-01 09:56:08,voice,tell me how will you introduce yourself in front of others,,3.283,success
2026-05-01 09:56:29,voice,list the features you can do,,3.789,success
2026-05-01 09:57:08,voice,can you access system,,6.219,success
2026-05-01 11:49:45,voice,what you see on camera,,4.746,success
2026-05-01 14:34:59,voice,tell me what is this on camera,,6.087,success
2026-05-01 14:35:34,voice,what you see on camera,,4.888,success
2026-05-02 11:43:49,voice,play dark entries on spotify,,2.762,success
